StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,QB,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,opp,gc,term,Q_TotalDuration
4/25/2022 13:54,4/25/2022 13:55,100,44,TRUE,4/25/2022 13:55,"About $25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,44
4/25/2022 13:55,4/25/2022 13:55,100,19,TRUE,4/25/2022 13:55,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,19
4/25/2022 13:55,4/25/2022 13:55,100,24,TRUE,4/25/2022 13:55,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,24
4/25/2022 13:55,4/25/2022 13:55,100,25,TRUE,4/25/2022 13:55,About $1 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,25
4/25/2022 13:54,4/25/2022 13:55,100,69,TRUE,4/25/2022 13:55,About $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,69
4/25/2022 13:54,4/25/2022 13:56,100,69,TRUE,4/25/2022 13:56,"About $25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,69
4/25/2022 13:55,4/25/2022 13:56,100,60,TRUE,4/25/2022 13:56,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,60
4/25/2022 13:54,4/25/2022 13:56,100,89,TRUE,4/25/2022 13:56,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,89
4/25/2022 13:54,4/25/2022 13:56,100,124,TRUE,4/25/2022 13:56,About $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,124
4/25/2022 13:54,4/25/2022 13:56,100,93,TRUE,4/25/2022 13:56,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,93
4/25/2022 13:56,4/25/2022 13:56,100,51,TRUE,4/25/2022 13:56,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,51
4/25/2022 13:56,4/25/2022 13:57,100,37,TRUE,4/25/2022 13:57,About $1 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,37
4/25/2022 13:54,4/25/2022 13:57,100,160,TRUE,4/25/2022 13:57,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,160
4/25/2022 13:57,4/25/2022 13:57,100,20,TRUE,4/25/2022 13:57,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,20
4/25/2022 13:57,4/25/2022 13:57,100,21,TRUE,4/25/2022 13:57,"About $25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,21
4/25/2022 13:56,4/25/2022 13:57,100,82,TRUE,4/25/2022 13:57,About $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,82
4/25/2022 13:58,4/25/2022 13:58,100,14,TRUE,4/25/2022 13:58,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,14
4/25/2022 13:58,4/25/2022 13:58,100,17,TRUE,4/25/2022 13:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,17
4/25/2022 13:55,4/25/2022 13:58,100,181,TRUE,4/25/2022 13:58,"About $1,500",30,Female,White,No,High school diploma or GED,Not a problem,Somewhat of a problem,Somewhat of a problem,,Serious problem,Serious problem,,Serious problem,Serious problem,Serious problem,Serious problem,Serious problem,Serious problem,Serious problem,Strongly disagree,Strongly disagree,Strongly disagree,No,Yes,Yes,2,3,2,3,2,3,3,Agree,Disagree,Disagree,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Likely,Unlikely,Likely,Likely,Unlikely,Agree,Agree,Agree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,181
4/25/2022 13:58,4/25/2022 13:58,100,12,TRUE,4/25/2022 13:58,"About $25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,12
4/25/2022 13:57,4/25/2022 13:58,100,48,TRUE,4/25/2022 13:58,About $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,48
4/25/2022 13:58,4/25/2022 13:58,100,16,TRUE,4/25/2022 13:58,About $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,16
4/25/2022 13:57,4/25/2022 13:58,100,73,TRUE,4/25/2022 13:58,About $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,73
4/25/2022 13:54,4/25/2022 13:58,100,255,TRUE,4/25/2022 13:58,"About $1,500",22,Male,Black or African American,No,Technical or associate degree,Serious problem,Somewhat of a problem,Not a problem,Serious problem,Serious problem,Serious problem,Somewhat of a problem,Not a problem,Not a problem,Somewhat of a problem,Not a problem,Serious problem,Serious problem,Serious problem,Agree,Strongly agree,Agree,No,No,No,0,0,0,0,0,0,0,Disagree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Very likely,Unlikely,Unlikely,Likely,Very unlikely,Agree,Strongly disagree,Disagree,Agree,Agree,Qual2726-0413ScottGenpopBS,1,,255
4/25/2022 13:58,4/25/2022 13:59,100,54,TRUE,4/25/2022 13:59,About $500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,54
4/25/2022 13:57,4/25/2022 13:59,100,69,TRUE,4/25/2022 13:59,"About $25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,69
4/25/2022 13:55,4/25/2022 13:59,100,214,TRUE,4/25/2022 13:59,"About $1,500",65,Male,White,No,Bachelor's degree,Somewhat of a problem,Not a problem,Not a problem,Somewhat of a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Strongly agree,,Disagree,,,,0,0,0,0,0,0,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Very unlikely,Unlikely,Unlikely,Unlikely,Likely,Agree,Disagree,,Disagree,Agree,Qual2726-0413ScottGenpopBS,1,,214
4/25/2022 13:54,4/25/2022 13:59,100,313,TRUE,4/25/2022 13:59,"About $1,500",75,Female,White,No,High school diploma or GED,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Somewhat of a problem,Not a problem,Not a problem,Agree,Agree,Disagree,No,No,Yes,0,0,0,0,0,0,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Likely,Likely,Likely,Likely,Likely,Agree,Agree,Agree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,313
4/25/2022 13:54,4/25/2022 13:59,100,309,TRUE,4/25/2022 13:59,"About $1,500",75,Female,White,No,Technical or associate degree,Somewhat of a problem,Somewhat of a problem,Somewhat of a problem,Serious problem,Somewhat of a problem,Serious problem,Serious problem,Serious problem,Somewhat of a problem,Somewhat of a problem,Somewhat of a problem,Somewhat of a problem,Somewhat of a problem,Serious problem,Strongly disagree,Agree,Disagree,No,No,Yes,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Likely,Likely,Likely,Likely,Likely,Agree,Disagree,Disagree,Disagree,Agree,Qual2726-0413ScottGenpopBS,1,,309
4/25/2022 13:54,4/25/2022 13:59,100,321,TRUE,4/25/2022 13:59,"About $1,500",74,Female,White,No,Technical or associate degree,Not a problem,Not a problem,Not a problem,Somewhat of a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Agree,Agree,Disagree,No,,,0,0,0,0,0,0,0,Agree,Agree,Agree,,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Likely,Likely,Likely,Likely,Likely,Agree,Agree,Agree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,321
4/25/2022 13:59,4/25/2022 14:00,100,19,TRUE,4/25/2022 14:00,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,19
4/25/2022 13:59,4/25/2022 14:00,100,31,TRUE,4/25/2022 14:00,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,31
4/25/2022 13:55,4/25/2022 14:00,100,268,TRUE,4/25/2022 14:00,"About $1,500",70,Female,White,No,High school diploma or GED,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Agree,Agree,Strongly disagree,No,,,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Likely,Likely,Likely,Likely,Likely,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,268
4/25/2022 13:54,4/25/2022 14:00,100,377,TRUE,4/25/2022 14:01,"About $1,500",77,Female,White,No,Master's or law degree (JD or LLM),Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Agree,Strongly agree,Strongly disagree,No,,,0,0,0,0,0,0,0,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Very unlikely,Very likely,Likely,Likely,Likely,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,377
4/25/2022 13:54,4/25/2022 14:01,100,380,TRUE,4/25/2022 14:01,"About $1,500",78,Male,White,No,Some college,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Agree,Agree,Disagree,No,,,0,0,0,0,0,0,0,Strongly agree,Agree,Agree,,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Likely,Likely,Unlikely,Unlikely,Likely,Agree,Disagree,Agree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,380
4/25/2022 14:00,4/25/2022 14:01,100,21,TRUE,4/25/2022 14:01,"About $25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,21
4/25/2022 13:55,4/25/2022 14:01,100,374,TRUE,4/25/2022 14:01,"About $1,500",69,Female,White,No,Some college,Not a problem,Somewhat of a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Agree,Agree,Disagree,Yes,No,Yes,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Unlikely,Unlikely,Unlikely,Likely,Unlikely,Disagree,Strongly disagree,Agree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,374
4/25/2022 13:52,4/25/2022 14:01,100,518,TRUE,4/25/2022 14:01,"About $1,500",66,Male,White,No,,Somewhat of a problem,Not a problem,Not a problem,Somewhat of a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Disagree,Agree,Disagree,No,,,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Unlikely,Likely,Unlikely,Likely,Unlikely,Disagree,Disagree,Agree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,518
4/25/2022 13:56,4/25/2022 14:01,100,324,TRUE,4/25/2022 14:01,"About $1,500",41,Female,White,No,Some college,,Not a problem,Not a problem,Somewhat of a problem,Not a problem,Somewhat of a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Strongly agree,Strongly agree,Strongly disagree,No,,Yes,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Qual2726-0413ScottGenpopBS,1,,324
4/25/2022 13:55,4/25/2022 14:01,100,393,TRUE,4/25/2022 14:01,"About $1,500",66,Female,White,No,Bachelor's degree,Not a problem,Not a problem,Not a problem,Somewhat of a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Somewhat of a problem,Not a problem,Somewhat of a problem,Disagree,Agree,Disagree,No,,,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Likely,Likely,Likely,Likely,Likely,Agree,Agree,Agree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,393
4/25/2022 14:00,4/25/2022 14:02,100,82,TRUE,4/25/2022 14:02,"About $25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,82
4/25/2022 13:57,4/25/2022 14:02,100,282,TRUE,4/25/2022 14:02,"About $1,500",81,Female,White,No,High school diploma or GED,Somewhat of a problem,Somewhat of a problem,Somewhat of a problem,Somewhat of a problem,Not a problem,Somewhat of a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Strongly agree,Strongly agree,Strongly disagree,No,,,0,0,0,0,0,0,0,Strongly agree,Strongly agree,Strongly agree,,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Likely,Likely,Likely,Likely,Likely,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Qual2726-0413ScottGenpopBS,1,,282
4/25/2022 14:00,4/25/2022 14:02,100,134,TRUE,4/25/2022 14:02,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,134
4/25/2022 13:57,4/25/2022 14:02,100,355,TRUE,4/25/2022 14:02,"About $1,500",72,Male,White,No,Technical or associate degree,Somewhat of a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Agree,Agree,Disagree,No,No,Yes,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Likely,Likely,Likely,Likely,Likely,Agree,Disagree,Agree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,355
4/25/2022 14:02,4/25/2022 14:03,100,21,TRUE,4/25/2022 14:03,"About $25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qual2726-0413ScottGenpopBS,2,attention_check,21
4/25/2022 13:54,4/25/2022 14:03,100,522,TRUE,4/25/2022 14:03,"About $1,500",63,Female,White,No,Bachelor's degree,Somewhat of a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Not a problem,Agree,Agree,Disagree,Yes,Yes,Yes,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Unlikely,Likely,,Unlikely,Unlikely,Disagree,,Disagree,Disagree,Disagree,Qual2726-0413ScottGenpopBS,1,,522
